File Name,positive_score,negative_score,polarity_score,subjectivity_score,avg_sentence_length,percentage_complex_words,complex_word_count,word_count,avg_word_length,syllable_per_word,fog_index,pronoun_count
bctech2011.txt,34,8,0.6190476043083905,0.088607594749773,37.45,50.0,237,474,7.571729957805907,2.5970464135021096,15.180000000000001,0
bctech2011 (1).txt,34,8,0.6190476043083905,0.09312638560282398,39.611111111111114,50.554323725055426,228,451,7.58980044345898,2.6097560975609757,16.046661739344668,0
bctech2012.txt,2,0,0.99999950000025,0.037037036351165994,26.666666666666668,35.18518518518518,19,54,7.166666666666667,2.2962962962962963,10.807407407407409,0
bctech2013.txt,2,0,0.99999950000025,0.03846153772189351,27.0,44.230769230769226,23,52,7.269230769230769,2.3653846153846154,10.976923076923079,0
bctech2014.txt,2,0,0.99999950000025,0.037037036351165994,27.666666666666668,42.592592592592595,23,54,7.2592592592592595,2.4074074074074074,11.23703703703704,0
bctech2015.txt,3,0,0.9999996666667778,0.05555555452674899,27.0,44.44444444444444,24,54,7.444444444444445,2.425925925925926,10.977777777777778,0
bctech2016.txt,2,0,0.99999950000025,0.0392156855055748,26.333333333333332,43.13725490196079,22,51,7.372549019607843,2.411764705882353,10.705882352941176,0
bctech2017.txt,2,0,0.99999950000025,0.03636363570247935,26.666666666666668,38.18181818181819,21,55,6.9818181818181815,2.2363636363636363,10.81939393939394,0
bctech2018.txt,1,0,0.9999990000010001,0.018518518175582997,26.666666666666668,42.592592592592595,23,54,7.12962962962963,2.3333333333333335,10.837037037037039,0
bctech2019.txt,1,0,0.9999990000010001,0.015873015621063243,29.666666666666668,41.269841269841265,26,63,7.142857142857143,2.365079365079365,12.031746031746032,0
bctech2020.txt,2,0,0.99999950000025,0.037037036351165994,28.333333333333332,44.44444444444444,24,54,7.333333333333333,2.388888888888889,11.511111111111111,0
bctech2021.txt,3,0,0.9999996666667778,0.05172413703923902,27.666666666666668,43.103448275862064,25,58,7.258620689655173,2.3620689655172415,11.239080459770115,0
bctech2022.txt,17,4,0.6190475895691624,0.05570291762413019,17.11764705882353,35.54376657824933,134,377,6.8753315649867375,2.350132625994695,6.989233889842409,0
bctech2023.txt,17,3,0.6999999650000017,0.08130081267763897,22.941176470588236,40.65040650406504,100,246,6.869918699186992,2.3577235772357725,9.339072214251555,0
bctech2024.txt,4,3,0.1428571224489825,0.05072463731358959,28.5,37.68115942028986,52,138,6.942028985507246,2.3333333333333335,11.55072463768116,0
bctech2025.txt,17,5,0.5454545206611581,0.0626780624994927,19.0,40.17094017094017,141,351,6.931623931623932,2.381766381766382,7.760683760683761,3
bctech2026.txt,31,3,0.8235293875432533,0.10932475849091718,22.40909090909091,42.443729903536976,132,311,7.22508038585209,2.401929260450161,9.133411283250512,3
bctech2027.txt,17,2,0.7894736426592819,0.06690140821513589,20.954545454545453,42.25352112676056,120,284,6.911971830985915,2.3309859154929575,8.550832266325223,1
bctech2028.txt,21,8,0.4482758466111777,0.07493540032316434,20.387096774193548,37.46770025839793,145,387,7.0051679586563305,2.356589147286822,8.304709510711012,0
bctech2029.txt,31,8,0.5897435746219597,0.1178247730579312,23.083333333333332,43.50453172205438,144,331,7.196374622356496,2.4290030211480365,9.407351460221552,7
bctech2030.txt,26,12,0.36842104293628836,0.10674157273387198,18.774193548387096,37.92134831460674,135,356,6.974719101123595,2.3146067415730336,7.661362812613266,0
bctech2031.txt,23,3,0.7692307396449716,0.06341463399167163,16.641025641025642,41.46341463414634,170,410,6.939024390243903,2.395121951219512,6.822263914946842,1
bctech2032.txt,3,0,0.9999996666667778,0.021739130277252678,26.77777777777778,34.78260869565217,48,138,6.384057971014493,2.210144927536232,10.850241545893722,0
bctech2033.txt,10,7,0.17647057785467188,0.0651340993673023,16.695652173913043,44.44444444444444,116,261,7.632183908045977,2.5900383141762453,6.856038647342995,0
bctech2034.txt,20,0,0.9999999500000024,0.099009900499951,22.0,43.06930693069307,87,202,7.336633663366337,2.4752475247524752,8.972277227722772,0
bctech2035.txt,15,6,0.4285714081632663,0.07954545424414601,18.652173913043477,47.34848484848485,125,264,7.181818181818182,2.5568181818181817,7.65026350461133,0
bctech2036.txt,28,11,0.4358974247205789,0.09948979566456685,17.026315789473685,39.285714285714285,154,392,6.836734693877551,2.3801020408163267,6.9676691729323315,0
bctech2037.txt,21,15,0.16666666203703717,0.07214428843257657,33.8,26.65330661322645,133,499,6.324649298597194,1.9879759519038076,13.626613226452903,1
bctech2038.txt,11,1,0.8333332638888947,0.0674157299583386,24.615384615384617,25.280898876404496,45,178,6.241573033707865,1.9943820224719102,9.947277441659466,0
bctech2039.txt,7,1,0.7499999062500118,0.05633802777226741,20.083333333333332,26.056338028169012,37,142,6.443661971830986,2.147887323943662,8.13755868544601,0
bctech2040.txt,5,1,0.6666665555555741,0.05172413748513675,93.5,21.551724137931032,25,116,6.387931034482759,1.9224137931034482,37.48620689655173,0
bctech2041.txt,5,1,0.6666665555555741,0.11999999760000006,35.5,30.0,15,50,6.42,2.02,14.32,0
bctech2042.txt,5,1,0.6666665555555741,0.06249999934895834,53.0,23.958333333333336,23,96,5.979166666666667,2.0104166666666665,21.295833333333334,0
bctech2043.txt,6,1,0.7142856122449125,0.04575163368789782,73.33333333333333,19.607843137254903,30,153,5.712418300653595,1.8169934640522876,29.411764705882355,0
bctech2044.txt,10,2,0.6666666111111158,0.05286343589046945,14.76,30.396475770925107,69,227,6.6960352422907485,2.1101321585903086,6.025585903083701,0
